30:87:D9:02:FA:C8,90:3A:72:25:03:C8,B4:79:C8:05:B9:A8,90:3A:72:24:EF:E8,18:7C:0B:8D:E4:28,B4:79:C8:38:AB:18,90:3A:72:24:E9:68,18:7C:0B:8D:E3:E8,D0:4F:58:52:D2:90,B4:79:C8:45:BA:58,B4:79:C8:45:C2:D8,30:87:D9:41:4E:88,B4:79:C8:85:BA:18,20:58:69:0E:B5:78,80:BC:37:63:DF:50,30:87:D9:81:3B:38,18:7C:0B:8D:E2:88,D0:4F:58:52:D2:A0
-51,-68,-89,-91,-81,-91,-90,-86,0,0,0,0,0,0,0,0,-89,0
-53,-66,-88,-91,-84,-91,-90,-84,0,0,0,0,0,0,0,0,-90,0
-53,-66,-86,-91,-83,-91,-90,-85,0,0,0,0,0,0,0,0,-92,0
-54,-66,-89,-89,-83,-91,-90,-84,0,0,0,0,0,0,0,0,-90,0
-52,-65,-87,-89,-81,-91,-90,-85,0,0,0,0,0,0,0,0,-90,0
-59,-65,-82,-90,-79,-90,-90,-85,0,0,0,0,0,0,0,0,-88,0
-57,-63,-85,-91,-79,-90,-90,-85,0,0,0,0,0,0,0,0,-88,0
-58,-63,-88,-90,-79,-90,-90,-88,0,0,0,0,0,0,0,0,-88,0
-57,-62,-84,-92,-78,-90,-90,-84,0,0,0,0,0,0,0,0,-88,0
-59,-64,-86,-90,-78,-90,-90,-84,0,0,0,0,0,0,0,0,-88,0
-57,-62,-84,-90,-78,-90,-90,-85,0,0,0,0,0,0,0,0,-88,0
-58,-62,-84,-90,-77,-90,-90,-85,0,0,0,0,0,0,0,0,-88,0
-61,-62,-85,-90,-81,-90,-90,-83,0,0,0,0,0,0,0,0,-88,0
-62,-61,-85,-90,-80,-90,-90,-82,0,0,0,0,0,0,0,0,-88,0
-61,-63,-84,-91,-82,-89,-90,-83,0,0,0,0,0,0,0,0,-88,0
-58,-64,-82,-91,-82,-84,-90,-82,0,0,0,0,0,0,0,0,-88,0
-59,-65,-84,-91,-83,-89,-90,-83,0,0,0,0,0,0,0,0,-88,0
-58,-63,-82,-91,-82,-86,-90,-81,0,0,0,0,0,0,0,0,-88,0
-63,-65,-85,-89,-79,-86,-90,-84,0,0,0,0,0,0,0,0,-88,0
-65,-62,-88,-89,-80,-86,-90,-84,0,0,0,0,0,0,0,0,-88,0
-63,-62,-87,-89,-80,-86,-90,-82,0,0,0,0,0,0,0,0,-88,0
-62,-63,-86,-89,-80,-86,-90,-82,0,0,0,0,0,0,0,0,-88,0
-60,-61,-85,-92,-80,-86,-90,-82,0,0,0,0,0,0,0,0,-88,0
-60,-62,-87,-90,-79,-86,-90,-82,0,0,0,0,0,0,0,0,-88,0
-58,-60,-83,-91,-79,-86,-90,-82,0,0,0,0,0,0,0,0,-88,0
-59,-61,-85,-91,-80,-86,-90,-82,0,0,0,0,0,0,0,0,-88,0
-56,-62,-83,-89,-84,-86,-90,-82,0,0,0,0,0,0,0,0,-88,0
-53,-60,-80,-91,-84,-86,-90,-82,0,0,0,0,0,0,0,0,-88,0
-54,-62,-82,-91,-84,-86,-90,-82,0,0,0,0,0,0,0,0,-88,0
-52,-61,-83,-88,-87,-86,-90,-89,0,0,0,0,0,0,0,0,-88,0
-49,-60,-83,-88,-85,-88,-90,-88,0,0,0,0,0,0,0,0,-88,0
-56,-66,-85,-88,-80,-91,-90,-86,0,0,0,0,0,0,0,0,-88,0
-54,-64,-84,-88,-78,-89,-90,-84,0,0,0,0,0,0,0,0,-87,0
-56,-65,-86,-88,-79,-91,-90,-85,0,0,0,0,0,0,0,0,-89,0
-58,-66,-87,-88,-81,-90,-90,-88,0,0,0,0,0,0,0,0,-91,0
-54,-64,-84,-88,-79,-90,-90,-87,0,0,0,0,0,0,0,0,-88,0
-57,-66,-87,-91,-81,-92,-90,-86,0,0,0,0,0,0,0,0,-88,0
