30:87:D9:02:FA:C8,90:3A:72:25:03:C8,B4:79:C8:05:B9:A8,90:3A:72:24:EF:E8,18:7C:0B:8D:E4:28,B4:79:C8:38:AB:18,90:3A:72:24:E9:68,18:7C:0B:8D:E3:E8,D0:4F:58:52:D2:90,B4:79:C8:45:BA:58,B4:79:C8:45:C2:D8,30:87:D9:41:4E:88,B4:79:C8:85:BA:18,20:58:69:0E:B5:78,80:BC:37:63:DF:50,30:87:D9:81:3B:38,18:7C:0B:8D:E2:88,D0:4F:58:52:D2:A0,B4:79:C8:05:C2:38
-56,-70,-77,-81,-86,0,-91,-91,0,0,0,0,0,0,0,0,-89,0,0.0
-56,-72,-82,-89,-87,0,-91,-91,0,0,0,0,0,0,0,0,-89,0,0.0
-57,-74,-85,-88,-89,0,-91,-91,0,0,0,0,0,0,0,0,-89,0,0.0
-57,-72,-79,-84,-88,0,-91,-91,0,0,0,0,0,0,0,0,-89,0,0.0
-56,-72,-83,-86,-87,0,-91,-91,0,0,0,0,0,0,0,0,-89,0,0.0
-51,-68,-72,-88,-88,0,-90,-91,0,0,0,0,0,0,0,0,-89,0,0.0
-53,-70,-74,-88,-91,0,-90,-91,0,0,0,0,0,0,0,0,-89,0,0.0
-52,-68,-73,-86,-87,0,-90,-91,0,0,0,0,0,0,0,0,-89,0,0.0
-52,-70,-73,-87,-84,0,-90,-91,0,0,0,0,0,0,0,0,-89,0,0.0
-49,-66,-73,-82,-82,0,-87,-91,0,0,0,0,0,0,0,0,-89,0,0.0
-51,-70,-72,-83,-81,0,-91,-91,0,0,0,0,0,0,0,0,-89,0,0.0
-51,-70,-75,-86,-81,0,-91,-91,0,0,0,0,0,0,0,0,-90,0,0.0
