30:87:D9:02:FA:C8,90:3A:72:25:03:C8,B4:79:C8:05:B9:A8,90:3A:72:24:EF:E8,18:7C:0B:8D:E4:28,B4:79:C8:38:AB:18,90:3A:72:24:E9:68,18:7C:0B:8D:E3:E8,D0:4F:58:52:D2:90,B4:79:C8:45:BA:58,B4:79:C8:45:C2:D8,30:87:D9:41:4E:88,B4:79:C8:85:BA:18,20:58:69:0E:B5:78,80:BC:37:63:DF:50,30:87:D9:81:3B:38,18:7C:0B:8D:E2:88,D0:4F:58:52:D2:A0,B4:79:C8:05:C2:38,B4:79:C8:45:B9:C8,30:87:D9:41:4A:48
-50,-62,-80,-90,0,0,-91,0,0,-86,0,0,0,0,0,0,0,0,,-89.0,-87.0
-50,-62,-79,-89,0,0,-89,0,0,-86,0,0,0,0,0,0,0,0,,-89.0,-87.0
-49,-60,-80,-84,0,0,-90,0,0,-86,0,0,0,0,0,0,0,0,,-89.0,-87.0
-52,-63,-78,-86,0,0,-90,0,0,-86,0,0,0,0,0,0,0,0,,-89.0,-87.0
-47,-61,-73,-86,0,0,-85,0,0,-88,0,0,0,0,0,0,0,0,,-89.0,-87.0
-49,-62,-72,-88,0,0,-88,0,0,-89,0,0,0,0,0,0,0,0,,-89.0,-87.0
-49,-61,-73,-88,0,0,-90,0,0,-89,0,0,0,0,0,0,0,0,,-89.0,-87.0
-49,-67,-76,-83,0,0,-86,0,0,-89,0,0,0,0,0,0,0,0,,-89.0,-87.0
-53,-71,-81,-84,0,0,-89,0,0,-89,0,0,0,0,0,0,0,0,,-89.0,-87.0
-53,-71,-80,-85,0,0,-88,0,0,-89,0,0,0,0,0,0,0,0,,-89.0,-87.0
